input_text,target_text
"Doz l3ndna","دوز لعندنا"
"ba9in wa7lin f 2006","باقيين واحلين ف ألفين وستة"
"Hhhhhhhh machatich toit panoramique tilas9ouh","ههههههه ماجاتيش طوا بانوراميك تيلصقوه"
"Onta so9k","أنت سوقك"
"Lhayaaat ghyer 3adiila","الحياة غير عادلة"
"Bnadm mchal9mo lhsad, lah isahl 3la kol wahd","بنادم مشلقمو الحساد، الله يسهل على كل واحد"
"Wayli ma ti tmazakche lagnawi?","ويلي ما تيتمازكش لغنوي؟"
"kant kantsnah y9ol lferda sa3a khaf ydikala","كنت كنتسناه يقول الفردة ساعة خاف يديكالا"
"Mike dean li gadd lbeat machi Pharrell","مايك دين اللي گد البيت ماشي فاريل"
"3adie ana okandirha","عادية أنا كاننديرها"
"Ka yriskiw wla nta rah z800 wla 1000 rah ila jrit 90 wla 100 rah b7ala 40 hhh homa yjiboha f rashom","كايريسكيو ولا نتا راه ز ثمن مية ولا ألف راه إلا جريت تسعين ولا مية راه بحالا أربعين ههه هما يجيبوها ف راسهم"
"Hadak machi dada ?","هاداك ماشي دادا ؟"
"Awdi gal lk f l 2M f l aoula hhhh","أوودي قال لك ف جوج إم ف الأولى ههه"
"Borojola hada classement des films d'actions machi braquage. Rak zgalti the town, Headhunters (2011), Mesrin (vincent cassel ) , Now you see me (2013), Tripple Frontier, Inside Man ( denzel W) . L'idee hia anaho l'evaluation du film en se basant sur le… En voir plus","بوروجولا هادا كلاسمون ديال أفلام دأكشن ماشي براكاج. راك زغلتي the town, Headhunters (ألفين و إحداش), Mesrin (vincent cassel ) , Now you see me (ألفين و تلطاش), Tripple Frontier, Inside Man ( denzel W) . ليدي هي أنو ليفالياسيون دالفيلم أون سو بازان سير لو… انظر المزيد"
"No inside man , man on a ledge , the town , the bank job khuya ra2yok yo7taram mais khas bzf dyal les modif","نو إنسايد مان ، مان أون أ ليدج ، ذا تاون ، ذا بانك جوب خويا رأيك يُحترم ميس خاص بزاف ديال لي موديف"
"la akhuya, hada l7ulm dial hergawa","لا خويا ، هادا الحلم ديال هرغاوا"
"Mais 3lach meskin","ميس علاش مسكين"
"Ghadi tkoun ahesan lahda f hyato … En voir plus","غادي تكون أحسن لحظة ف حياتو … انظر المزيد"
"Ga3 dakchi lighydir m3ah mcha dewzo wja","كاع داكشي ليغيدير معاه مشا دوزو وجا"
"Said Lasmar hyad fik had lkhdaym","سعيد لاسمار يحيد فيك هاد الخدايم"
"Khoya Seraha fhad lwa9t bnadem idkhal so9 raso 7san lih","خويا صراحة فهاد الوقت بنادم يدخل سوق راسو حسن ليه"
"Slm Khoya ana kahirafi flamikanic essence normal ahsan","سلام خويا أنا حرفي ف لاميكانيك إيسونس نورمال أحسن"
"Khoya Ayman Jbari fkkr mzyaaan f chi 9iissa li tji mea had lkhir likadir bravo elik mais rah ila makant hta qiisa w makanoch l missions ra bhala makadir walo w alah iwwf9ek a brother rak nadi","خويا أيمن جباري فكر مزيان ف شي قصة لي تجي مع هاد الخير لي كادير برافو عليك ميس راه إلا ما كانت حتا قصة وماكانوش لي ميسيون را بحالا ماكادير والو والله يوفقك أ خويا راك ناضي"
"4 drari 250dh l wa7d villa mkriya l nhar b 1000dh","ربعة دراري ميتين و خمسين درهم ل واحد فيلا مكرية ل النهار ب ألف درهم"
"M3a galtha Lik m3a mchiti kriti Villa m3a chi 15 lwahd","مع گالتها ليك مع مشيتي كريتي فيلا مع شي خمسطاش لواحد"
"3ziz 3li wkh mkn3rfkchi","عزيز علي وخا مكنعرفكشي"
"Katl9ah umi ma9arich edayro tema","كاتلقاه أمي ماقاريش أيديرو تما"
"Radi n9alab 3la war9a","غادي نقلب على ورقة"
"Saraha wa3ere dirohe blile","صراحة واعرة ديروه بالليل"
"Fg3 videos tadwi abch dwi","فكاع الفيديوهات تدوي باش دوي"
"Chef ali tbarklah o machallah 3lik , ki 3jebni kifesh ka tpartager lma3louma m3a nass ,","الشيف علي تبارك الله و ماشاء الله عليك، كيعجبني كيفاش كاتبارطاجي المعلومة مع الناس."
"Chnu smit sebardila li labs chaos","شنو سميت سبارديلة لي لابس خاوس"
"Ayman Ouali hak had Mahmoud 3alam","أيمن الوالي هاك هاد محمود علام"
"Wa hia lm3lm","و هيا المعلم"
"Oussama Abbou Mohlika officiel rajal alik akhali khasak trayah meah Bach tbadla rayyaa dyalk nta Aslan rtitab alkaekae bhalak nta Rak 3arf blamat ngolk hchamt nsabak tn9az ala rajal alka3ka3","أسامة عبو موهليكا أوفيسييل راجل عليك أخالي خاصك ترتاح معاه باش تبدل رايك نتا أصلان ارتداد الكعكاع بحالك نتا راك عارف بلا ما نگولك حشمت نسابقك تنقز على راجل الكعكاع"
"Bsa7tk","بصحتك"
"Sir ya wld 9h galik mhamcha","سير يا ولد قح قاليك مهمشة"
"Machaellah 3la lhayat tabi3ya otahyati okhti lghzala lmouhtarama thouraya","ماشاء الله على الحياة الطبيعية و تحياتي أختي الغزالة المحترمة ثريا"
"Khoya birojola ila makintiw kadir loton ohada howa sawtk rah bzffff akhoya siiiir lrap makrahnax kon lahti lina xi track akhoya xkon mtaf9 m3aya","خويا بالرجولة إيلا ماكنتوش كاديرو اللوتون وهادا هو صوتك راه بزاف أخويا سير للراب ماكرهناش كون لحتي لينا شي تراك أخويا شكون متفق معايا"
"Tbrklah 3lik","تبارك الله عليك"
"Mabghithach lik koun b9iti fzn9a sohil hram 3lik","مابغيتهاش ليك كون بقيتي فالزنقة سهيل حرام عليك"
"M3rftch mnin kyti7o 3lik had l afkar hhhhhh bravo lik","معرفتش منين كيطيحو عليك هاد الأفكار هههههه برافو ليك"
"Abdelaziz El Makoudi hada tena wlh","عبد العزيز المكودي هادا تينا والله"
"Hhhhhh gha blati ghadi tkhlees mazal","هههههه غا بلاتي غادي تخلص مازال"
"layn3ltbonmkmo","الله ينعل بو مكُّم"
"Hhhh 3alm dak khona","هههه عالم داك خونا"
"Rida Touil howa wla maxi howa","رضا طويل هو ولا ماشي هو"
"Khalid Orao lakhor li kihssab lih ra kigol chi haja fiha sdae hhhhh","خالد أوراو لاخور لي كيحساب ليه راه كيقول شي حاجة فيها صداع ههههه"
"Tara b9alk gha tnikoo","تارا بقالك غا تنيكو"
"Hhh ana wahd khona f mkenas chadin 9hwa kantssnaw constator hhh","ههه أنا واحد خونا ف مكناس شادين قهوة كانتسنوا كونستاتور ههه"
"nari ach gal","ناري آش قال"
"Oussama Amiri hhhhhhhhhhhh nta","أسامة أميري ههههههههههه نتا"
"O9sim billah wahed nhar kont mor wahed Sh labes casque dyalo we9afna fdaw hmar kanchof fih fhal hayda hbet ftah topcase d motor jbed mno chapeux d gucci olebso orja3 casque khxah f baliza dmotor hhhhhhhhh khesara kan khso itsewar hhhhhhhhhh","أقسم بالله واحد النهار كنت مور واحد ش لابس كاسك ديالو وقفنا فضو حمار كنشوف فيه فحال هايدا هبط فتح طوب كيس د موتور جبد منو شابو د غوتشي ولبسو ورجع كاسك خشاه ف باليزة د موتور ههههههه خسارة كان خصو يتصور ههههههه"
"Hada howa ljadid","هادا هو الجديد"
"Katsd9 ghir mra","كتصدق غير مرة"
"tbarkllah 3lik","تبارك الله عليك"
"dirlna yrhmlk lwalid 3la z1000 z800","ديرلنا يرحم لك الواليد على ز ألف ز تمنمية"
"Lmraya dial l7ala9 : vu","المرايا ديال الحلاق : فو"
"Lwlidd 3andk bki kyfwj","الوليد عندك باكي كيفوج"
"Rijal Bissoumat Youssef kolchi 3lih lah yhafdo likom","رجال بيسومة يوسف كلشي عليه الله يحافضو ليكم"
"O9sim billah wahed nhar kont mor wahed Sh labes casque dyalo we9afna fdaw hmar kanchof fih fhal hayda hbet ftah topcase d motor jbed mno chapeux d gucci olebso orja3 casque khxah f baliza dmotor hhhhhhhhh khesara kan khso itsewar hhhhhhhhhh","أُقْسم بالله، واحد النهار كنت مور واحد الشّْ لابس الكاسك ديالو. وَقَفنا فْالضو الحْمار. كنتْشوف فيه فْحال هايدا، هْبَط فْتح التوبكيس ديال الموطور، جْبد منُّو الشّابو ديال غوتشي، و لْبْسُو، و رَجَّع الكاسك خْشَاه فْالباليزة ديال الموطور. ههههههه خْسارة كان خَصُّو يْتْصَوَّر."
"Hada howa ljadid","هادا هوا الجديد"
"Katsd9 ghir mra","كاتْصْدَق غير مرة"
"tbarkllah 3lik","تبارك الله عليك"
"dirlna yrhmlk lwalid 3la z1000 z800","ديرْ لْنا يرحمْ لك الواليد على الزيد ألف والزيد تمنمية"
"Lmraya dial l7ala9 : vu","لمْراية ديال الحلاق : فو"
"Lwlidd 3andk bki kyfwj","الوْليد عندك بْكي كَيْفوّج"
"Rijal Bissoumat Youssef kolchi 3lih lah yhafdo likom","رجال بيسومة يوسف كُلشي عليه الله يحافضو ليكم"
"But Star Haaland 5mins","بُوت ستار هالاند خمسة دْقايق"
"Walh akheya ktechafni m3raftche 3lache 3inke daimne fiheme lhezene wlhame lhe yefawjha 3like akheya","و الله أخي كْتْشافني ما عْرَفْتْش علاش عينيك دايماً فيهُمْ الهْزْنَة و لْهَم. الله يْفوّجها عليك أخي"
"Lach za3ma mhayd cabli dyal kontour Bach troch fin tbri tbi3ha tgoli Kant ra wa9fa hhhh hawl maroc mazal macharyan mochkil fina hna tanrocho ra ba3diyatna","لاش زعما مْحَيَّد كابلي ديال الكونطور باش تْرش فين تبغي تبيعها تقولي كانت واقفة. ههه. حاول المغرب مازال ما شاريان. موشكيل فينا حنا تنرشو على بعضياتنا."
"Hhhh ishb lik ga3 nass kaykloo tban yak wa5a ta7d lih ta lmkina gha rata7 awdi ajami","هههه. يْشْبَهْ ليك كاع الناس كيكلو تبن ياك. واخا تحيد ليه حتى المكينة غا ارتاح آ ودي أجامي."
"Subhna lah hasit bik bhal li khalast a3lih ana llah isahal a3lik","سبحان الله، حسيت بيك بحال اللي خلصت عليه أنا. الله يْسهَلْ عليك."
"hchouma 3lik a Sahbi mwalaf ta3ti l Dari li péage 9ar3a o choklata hhh","حشومة عليك أ صاحبي. موالف تعطي ل الدَّارِي ديال البيّاج قَرْعَة و شوكلاطة ههه."
"5aiinin hh","خَايْنِين هه."
"Momkin na3rafe fin kin fmarakch lah ihafedak","ممكن نعرف فين كاين فمراكش الله يحفظك"
"Khona ma kay 3arfch yrwed w7ech","خونا ما كايعرفش يروّض وحش"
"Mostafa Él nta hhhhh","مصطفى إل نتا هههه"
"Lmorphine ay9ona","لمورفين أيقونة"
"lbkya li dart moura lbac hhh","لبكية لي درت مورا الباك ههه"
"Hadik casa f anfa 3rafta ghir b dik Hôtel D Barcelo Hit Kont kanmchi Tma Bzaaaf","هاديك كازا ف أنفا عرفتها غير بديك Hôtel D Barcelo حيث كنت كانمشي تما بزاف"
"Yassine El m7arech b khooh","ياسين المحارش بخوه"
"Abdeladim Taté bhala nta dawi m3a mohamed","عبد العظيم تاتي بحالا نتا داوي مع محمد"
"bach 3raftih kisra9 wifi hhhhh","باش عرفتيه كيسرق WiFi هههه"
"Bin o bin Rap Ghir lkhair o i7san","بينو وبين الراب غير الخير والإحسان"
"Mliii7","مليييح"
"3ndo mouchkil f compressor, li kaykhdlo khso yriglo Teclab BA 2A","عندو مشكل ف كمبريسور، لي كايخدمو خاصو يريكلو تيكلاب BA جوج A"
"Kane la3ib ta wla himar wahchi hhhh maystahlch il3ab had la coupe","كان لاعب تا ولا حمار وحشي هههه مايستاهلش يلعب هاد لا كوب"
"Amine MA tra lia had lblan m3a sezar dial ichahrar Lah irahmo","أمين ما طرا ليا هاد لبلان مع سيزار ديال الإشهار الله يرحمو"
"Kifach bloc 2 dima tatgolha","كيفاش بلوك جوج ديما تاتقولها"
"Hâķïm Bøúohoya galeeh ja3raan rah machi howa","حكيم بوحيويا گال ليه جعران راه ماشي هو"
"7na nchodo wsafi asi hsan nmchw nt3lim sia9a mchiti ntresian chmali","حنا نشدو وصافي آ سي حسن نمشيو نتعلم سياقة، مشيتي لترسيان شمالي"
"Awdi dak vis kayn f ay wahd 3ziz 3lih motor ta7iyati khoya med","آ ودي داك الفيس كاين ف أي واحد عزيز عليه موطور. تحياتي خويا مد"
"Ghi M2 hsen men had chi hhhh","غي إم جوج حسن من هاد شي هههه"
"Kon khriti fdak studio wmatghnich had lhmoda tzzzzzz a izlan okhna","كون خريت فداك ستوديو وماتغنيش هاد لحمودة تزززز أيزلان وخنا"
"1000Dh rah thyd lmaja3a mn soudan aw9","ألف درهم راه تحيد المجاعة من السودان أو ق"
"Ara 3liha chi 2 ans l Mahamawda","آرا عليها شي جوج سنين ل المحمودة"
"Mahmoud howa next fda7aya","محمود هوا نيكست فالضحايا"
"Kyn fr9 bin krwazma mt9ada obin droba rah lknti ghdi fTri9 kbira owhd khrj mn drb rah mkhskx t3Tih asb9ia","كاين فرق بين كروازما متقادة وبين دروبة راه لا كنتي غادي فطريق كبيرة وواحد خرج من درب راه ماخصكش تعطيه الأسبقية"
"dir lina chi video rla lmontage dyal les fares secours o 4 Signal. lah ihfdek","دير لينا شي فيديو على المونتاج ديال لفار سكور و ربعة سينيال. الله يحفظك"
"Mn3 hsn lik","من أحسن ليك"
"Drari fin nl9a album dialo ? Wach spotify ?","دراري فين نلقى ألبوم ديالو؟ واش سبوتيفاي؟"
"Matgolch haka rah aykherj ybda ybki 3awtani kif l3ada hhhhhhhhhhhhh","ماتقولش هكا راه أيخرج يبدا يبكي عوتاني كيف العادة هههههههههه"
"Hhhhhh nadi derti dak demo oghnia deyal laaras kayn a 3chyri video ghanpartajih nadi nadi kokchi aala moulat sefar","هههههه نادي درتي داك ديمو، أغنية ديال الأعراس. كاين أ عشيري، فيديو غانبارتاجيه. نادي، نادي. كلشي على مولات الصفر"
"Hafifak allah et bonne courage et bonne continuation.dir lina almarra jaya alhadra dyal oujda et taourirt.et berkane","حفيظك الله و بون كوراج و بون كونتينواسيون. دير لينا المرة الجاية الحضرة ديال وجدة و تاوريرت و بركان."
"Khoya zide 3liha za3tare otouma otfakarni bhalaha kansayboha fcasa Ana wahade mnhome otahiyati","خويا زيد عليها زعتر و تومة و تفكرني بحالها كنصايبوها فكازا. أنا واحد منهم و تحياتي."
"Wadie Gr 9bel maybanlk lvid ra wlhta 3mrni drtlk chi l3ba bhal hadi hhhhhhhhhh","وادي جي آر قبل ما يبان لك الفيديو راه والله حتى عمرني درت لك شي لعبة بحال هادي ههههههه."
"DFK hiya","دي إف كاي هيّا."
"K tkhadat hit jaya mn kaliémie hit potassium hwa lkythkaam fiha","ك تخذات حيت جاية من كاليمية حيت البوتاسيوم هو اللي كيتحكّم فيها."
"Flawl bda kid7k 3lih hhh","فاللول بدا كيدحك عليه هههه"
"Chi nhar adbr 3la lmontif 7di rask","شي نهار أدبر على لموتيف حدي راسك"
"Li bgha marhba bih f lhay mohamadi","لي بغا مرحبا بيه في الحي المحمدي"
"Ma3rfox tafo9ax magtlox maw9fin 3la 7d","ماعرفوش تا فوقاش ما قالولوش، موقفين على حد"
"Sega3e hhhhhh","سگّاع هههههه"
"Nta tyara asi esama","نتا طيارة أسي أسامة"
"Hrb mn lma lytrch fih","هرب من الما ليترش فيه"
"walah HTA ana kanchfom kayd5ol 3liya law9at","والله حتى أنا كانشوفهم كيدخلوا عليا الأوقات"
"Yalah wliti kat gol 3arf rassi fotif hta 9ayadto o galha lik constater hargawa katro","يالله وليتي كاتقول عارف راسي فوتيف حتى قيدتو وقالها ليك كونستاتور. هرگاوا كثروا."
"Hada sads","هادا سادس"
"Yak kan gal feh 1.80 fe stream ?","ياك كان قال فيه واحْد فاصلة ثْمانين ف ستريم؟"
"Hadi Hadi","هادي هادي"
"7ta daba lmra 7sn mn rrajl","حتى دابا لمرا حسن من راجل"
"Sbhan lh nta ou shabk baslin t9al ela l9lb","سبحان الله نتا و صحابك باسلين تقال على القلب"
"Mliha Ila Kant n9a khososan rabbit o pacific","مليحة إلا كانت نقا خصوصا رابيت و باسيفيك"
"HTA match wakha 9lila chwia.","حتا ماتش واخا قليلة شوية."
"Golf 4 d origin o n9a design hareb kanet 3andi pacific bnadem rakeb fhdid haute gamme. Ntkrwaza m3ah maymkench matirch intibah","غولف ربعة د أوريجين و نقا ديزاين هارب كانت عندي باسيفيك بنادم راكب فحديد هوت غام. نتكروازا معاه ما يمكنش ما تيرش انتباه."
"Ah akhoya. Matkhaf ma walo nadi","أه أخويا. ما تخاف ما والو نادي."
"Had jrad chhal basllin","هاد جْراد شحال باسلين"
"nta bark o katlss9 fena chii kaliimat","نتا بارك و كاتلصّق فينا شي كلمات"
"dik samsung dayra meak lmzyaan hhhh","ديك سامسونغ دايرة معاك لمزيان ههه"
"Ban nta 3endna ndiro lik tahiya okhawiya 3la had lhedra likatgol merhba bik oweld l,,,,","بان نتا عندنا نديرو ليك تحية وخاوية على هاد الهضرة اللي كاتقول. مرحبا بيك وولْد الـ..."
"6 ceylander kola ciylander 3.6L max speed 234km/h mochkil li kan howa seystem d'injection classic kon kant la novell jeneratoin d'anjection kon chdat 360km/h bhal la3b","ستة سيلندر، كولّا سيلندر تلاتة فاصل ستة لتر، ماكس سبيد ميتين وأربعة وتلاتين كيلومتر في الساعة. المشكل اللي كان هو سيستيم دانجيكسيون كلاسيك، كون كانت لا نوفيل جينيراتيون دانجيكسيون، كون شدات تلاتمية وستين كيلومتر في الساعة بحال اللعب."
"Youssef ana wyak fkola mra knglso bjoj hhh","يوسف أنا وياك فكول مرة كنجلسو بجوج ههه"
"7mar mol tomobil lokn 7bass ychof klab wachta sralo onsniya m3ndouch","حمار مول الطوموبيل لو كان حبس يشوف كلاب واشتا سرى لو، إنسانية ما عندوش."
"mazot wla haz lisans khfti ytfrg3 wla tch3l 3fya","مازوت ولا هز ليسانس خفتي يتفرڭع ولا تشعل عافية"
"hrab fiha jonon l3adama ol wswas dakchi bach galt liik darori nhdar","هرب فيها جنون العظمة والوسواس، داكشي باش قالت ليك ضروري نهضر."
"mero: chda9 rzal","ميرو: شداق رزال"
"Knt dak nhar m3rfto Mnin tl3 hhhhhh","كنت داك النهار ما عرفتو منين طلع هههههه"
"Moaad Zahr ha nta mo","معاد زهر ها نتا مو"
"Waliti kat3atal khay dalali","وليتي كاتعطّل خاي دلالي"
"Salm li3andha machakil fdar m3a l3aila ola m3a zawj tji lkhas marhba atrhmliya lwalidinLibrat nkhdam liha hadi da9a batla iji kayjri 9assmn.bila 3andi wahd lkhdma wa3ra fhadchi librat tjini lkhas","اللي عندها مشاكل فالدار مع العائلة ولا مع الزوج، تجي للخاص، مرحبا. ترحّم ليا الوالدين. اللي بغات نخدم ليها هادي دقة باطلة، يجي كيجري. قسماً بالله، عندي واحد الخدمة واعرة فهادشي. اللي بغات، تجيني للخاص."
"Nta li mchmoot","نتا لي مشموت"
"Wlah a hbibi ta kent hass bik 9aysek lma","والله أ حبيبي تا كنت حاس بيك قايسك الما"
"Bsshtkom 3aychin l7ob","بصحتكم عايشين الحب"
"Dk kricha 3adak dima hadra hhh","ديك كريشة عندك ديما هضرة ههه"
"3anmot hhhhh","عانموت ههههه"
"Sir t9awd","سير تقود"
"Khoya rak nta li mklakhe machi indriv","خويا راك نتا لي مكلاخ ماشي إندريف"
"Rafi999 dima wac m3ak hamid ctm station kech...hhhhh 3alam","رفيق تسعمية وتسعة وتسعين ديمة واش معاك حميد سي تي إم صطاسيون كش... علام"
"Tkharbi9","تخاربيق"
"Li fih dam kaytakhdam taksa o nsa o hdi trimtak had khatra","لي فيه الدم كيتخدم تكسى و نسا و هدي تريمتاك هاد الخطرة"
"Hadak dayer green screen ou l7mar dayer FIH 39lou","هاداك داير غرين سكرين و الحمار داير فيه عقلُو"
"O 9bal 5 ans","و قبل خمسة أنس"
"Hada rah dilyas kho ilyass","هادا راه ديالياس خو الياس"
"Ilyas elmaliki yaaaaaa had rajel talach 7assnti le7ya yahad rajel","الياس المالكي ياااااا هاد راجل تلاّش حسّنتي لحية يهاد راجل"
"Ya rrabi tassma7 lina wlik","يا ربي تسامح لينا وليك"
"Ma3raft 3lach makadkhol lkhatar","ما عرفت علاش ما كدخل الخاطر"
"Hosam 3chiri slm 3lih bzaf","حسام عشيري سلم عليه بزاف"
"Khouya hamza al3atifa la khafifi mn nytk..?","خويا حمزة العاطيفة لا خفيفي من نيتك..؟"
"Ana kanbghi raja walakine hadi a kha Hamza hi khriti fiha . 3la smiyate kidairine Khafifi maysstahlch ta dak tenue Banoon li 7ssen menno ou mal3bch kan doublure machi assassi","أنا كانبغي رجاء ولكن هادي أ خو حمزة هي خريتي فيها . على سميات كيديرين الخفيفي مايستاهلش تا داك توني بانون لي حسن منو و مالعبش كان دوبلور ماشي أساسي"
"Hadi nhar lawal ta3tik","هادي نهار الأول تعتيك"
"Khouya hamza al3atifa la khafifi mn nytk..?","خويا حمزة العاطفة لا خفيفي من نيتك..؟"
"Ana kanbghi raja walakine hadi a kha Hamza hi khriti fiha . 3la smiyate kidairine Khafifi maysstahlch ta dak tenue Banoon li 7ssen menno ou mal3bch kan doublure machi assassi","أنا كانبغي رجاء ولكن هادي أ خو حمزة هي خريتي فيها. علا سميت كيديرينة الخفيفي مايستاهلش تا داك تنيو بانون لي حسن منو و مالعبش كان دوبلور ماشي أساسي"
"Hadi nhar lawal ta3tik","هادي نهار الأول ديالك"
"Mehdi Khalouf welah ta nsa7bo tizek hahahhahahahahhahaha","مهدي خالوف والله تا نساعبو تيزك ههههههههههههههه"
"Hhhh tahowa Kan Mikhali bhalna hhh loudaya","ههه تهوا كان مخالي بحالنا ههه لوداية"
"Wa ls9aaaa","وا السقاع"
