input_text,target_text
3awtani ghadi yjiw 3andk nta mdouble man liman w kda hhhhhh bnadam gha sama3 b tri9 w sfi,عوتاني غادي يجيوا عندك نتا مديبل من ليمان وكدا هههههه بنادم غا سماع بتريق وسفي
Doz l3ndna,دوز لعندنا
ba9in wa7lin f 2006,باقيين واحلين ف 2006
Hhhhhhhh machatich toit panoramique tilas9ouh,ههههههه ماجاتيش تويت بانوراميك تيلسقوه
Onta so9k,أنت سوقك
Lhayaaat ghyer 3adiila,الحياة غير عاديلة
"Bnadm mchal9mo lhsad, lah isahl 3la kol wahd",بنادم مضلهمو الحصاد، الله يسهل على كل واحد
Wayli ma ti tmazakche lagnawi?,وايلي ما تمازكش لغنوي؟
kant kantsnah y9ol lferda sa3a khaf ydikala,كانت كانصنا يقول الفردة ساعة خاف يدكالا
Mike dean li gadd lbeat machi Pharrell,مايك دين لي قد لبيت ماشي فاريل
3adie ana okandirha,عادية أنا كاندرها
Ka yriskiw wla nta rah z800 wla 1000 rah ila jrit 90 wla 100 rah b7ala 40 hhh homa yjiboha f rashom,كايريسكيو ولا نتا راه ز800 ولا 1000 راه إلا جريت 90 ولا 100 راه ب7الا 40 ههه هوما يجيبوها فراشوم
Hadak machi dada ?,هاداك ماشي دادا ؟
Awdi gal lk f l 2M f l aoula hhhh,أوودي قال لك ف ل 2M ف ل أولى ههه
"Borojola hada classement des films d'actions machi braquage. Rak zgalti the town, Headhunters (2011), Mesrin (vincent cassel ) , Now you see me (2013), Tripple Frontier, Inside Man ( denzel W) . L'idee hia anaho l'evaluation du film en se basant sur le… En voir plus","بوروجولا هادا كلصيف ديال أفلام دأكشن ماشي براقاج. راك زغلتي the town, Headhunters (2011), Mesrin (vincent cassel ) , Now you see me (2013), Tripple Frontier, Inside Man ( denzel W) . الليديه هيا أنوهو التقييم دلفيلم ف ساسنت على… انظر المزيد"
"No inside man , man on a ledge , the town , the bank job khuya ra2yok yo7taram mais khas bzf dyal les modif",نو إينسايد مان ، مان أون أ ليدج ، ذا تاون ، ذا بانك جوب خويا رايك يو7ترم mais خاص بزف ديال ل موديف
"Tu as totalement réson mon frère, ça m'a déjà arrivé,",تو هاس توتالي ريزون مون فرير ، صا ما جا أريفيه ،
Maybe the Best M5 ever exit the E39,مايبي ذا بست إم 5 إيفير إكزيت ذا إي 39
All I see is CR7 REBORN,أول آي سي إيز سي آر 7 ريبورن
"la akhuya, hada l7ulm dial hergawa",لا خويا ، هادا لحلم ديال هرغاوا
Mais 3lach meskin,مايس علاش مسكين
Ghadi tkoun ahesan lahda f hyato … En voir plus,غادي تكون أحسن لحضة ف حياتو … انظر المزيد
Ga3 dakchi lighydir m3ah mcha dewzo wja,كاع داكشي ليغيدير معاه مشا دوزو وجا
Said Lasmar hyad fik had lkhdaym,سعيد لاسمار يحاد فيك هاد لخادم
Khoya Seraha fhad lwa9t bnadem idkhal so9 raso 7san lih,خويا صراحة فهاد الوقت بنادم يدخل سوق راسو حسن ليه
Slm Khoya ana kahirafi flamikanic essence normal ahsan,سلم خويا أنا كاهيرفي فلاميكانيك إيسونس نورمال أحسن
Khoya Ayman Jbari fkkr mzyaaan f chi 9iissa li tji mea had lkhir likadir bravo elik mais rah ila makant hta qiisa w makanoch l missions ra bhala makadir walo w alah iwwf9ek a brother rak nadi,خويا أيمن جباري فكر مزيان ف شي قصة لي تجي معا هاد الخير ليكادير برافو عليك mais راه إلا ما كانت حتا قصة وماكانوش لميشونس را ب7الا ماكادر والو والله يوفقك أ خويا راك ناضي
4 drari 250dh l wa7d villa mkriya l nhar b 1000dh,4 دراري 250dh ل واحد فيلا مكرية ل النهار ب 1000dh
M3a galtha Lik m3a mchiti kriti Villa m3a chi 15 lwahd,مع گالتها ليك مع مشيتي كريتي فيلا مع شي 15 لوحد
3ziz 3li wkh mkn3rfkchi,عزيز علي وخ مكنعرفكشي
Katl9ah umi ma9arich edayro tema,كاتلها أمي ماقاريش أديرو تيما
Radi n9alab 3la war9a,رادي نقالب على ورقة
Saraha wa3ere dirohe blile,صراحة واعرة ديروه بليلة
Fg3 videos tadwi abch dwi,فگ فيديوس تدوي أبش دوي
"Chef ali tbarklah o machallah 3lik , ki 3jebni kifesh ka tpartager lma3louma m3a nass ,",شيف علي تبارك الله و ماشاء الله عليك ، كي عجبتني كيفش كاتبارطاجي لمعلومة مع ناس ،
Ma dirhach mni 9elet swab had la mousse li kathder 3liha Smitha mousse bavaroise li katkoune a base de la crème anglaise + la crème montée+ parfum ola arome au cho… En voir plus,ما درهش مني قعلت صواب هاد لموس لي كاتهدر عليها سميتها موس بافارواز لي كاتكون أ باص دي لا كريم أنجليز + لا كريم مونتي + بارفيوم أولا أرمو أو شو… انظر المزيد
Chnu smit sebardila li labs chaos,شنو سميت سبارديلة لي لابس خاوس
Ayman Ouali hak had Mahmoud 3alam,أيمن أوالي هاك هاد محمود علم
Wa hia lm3lm,و هيا المعلم
Oussama Abbou Mohlika officiel rajal alik akhali khasak trayah meah Bach tbadla rayyaa dyalk nta Aslan rtitab alkaekae bhalak nta Rak 3arf blamat ngolk hchamt nsabak tn9az ala rajal alka3ka3,أسامة عبو موهليكا أوفيسييل راجل عليك أخالي خاصك ترايا معا باش تبدل رايك ديالك نتا أسلان رتيتاب الكاكا ب7الك نتا راك عارف بلامات نگولك حشمت نسابك تنقز علا راجل الكعكع
Bsa7tk,بساحتك
He's being doing great since joining CR7 the GOAT...SUIIIII,هيز بينغ دوينغ غريت سينس جوينينغ CR7 ذا جوات…SUIIIII
Sir ya wld 9h galik mhamcha,سير يا ولد 9ه قاليك مهمشا
Machaellah 3la lhayat tabi3ya otahyati okhti lghzala lmouhtarama thouraya,ماشاء الله على الحياة طبيعية و تحياتي أوختي الغزالة المحترمة ثوريا
Khoya birojola ila makintiw kadir loton ohada howa sawtk rah bzffff akhoya siiiir lrap makrahnax kon lahti lina xi track akhoya xkon mtaf9 m3aya,خويا بيروجولا إلا ما كنتو كاديرو لوتون وهادا هوا صوتك راه بزف أخويا سير لراب ماكرهناش كون لهتي لينا شي تراك أخويا يكون متفق معايا
Tbrklah 3lik,تبرك الله عليك
Mabghithach lik koun b9iti fzn9a sohil hram 3lik,ما بغيتش ليك كون ب9يتي فزنقة سهيل حرام عليك
M3rftch mnin kyti7o 3lik had l afkar hhhhhh bravo lik,معرفتش منين كيتيحو عليك هاد الأفكار هههههه برافو ليك
Abdelaziz El Makoudi hada tena wlh,عبد العزيز المكودي هادا تناء والله
Hhhhhh gha blati ghadi tkhlees mazal,ههههه غا بلاتي غادي تخليس مازال
layn3ltbonmkmo,لاينعلت بونكمو
Meb huas aw maiv mob li cas naj thov teb o,ميب حواس أو مايف موب لي كاس نج ثوف تب و
Hhhh 3alm dak khona,هههه عالم داك الخونا
Rida Touil howa wla maxi howa,ريدة طويل هوا ولا ماكسي هوا
Khalid Orao lakhor li kihssab lih ra kigol chi haja fiha sdae hhhhh,خالد أوراو لخور لي كيحسب ليه را كيقول شي حاجة فيها صداع ههههه
Tara b9alk gha tnikoo,طارا ب9الك غا تنيكو
Hhh ana wahd khona f mkenas chadin 9hwa kantssnaw constator hhh,ههه أنا واحد الخونا ف مكناس شادين قهوة كانتسنوا كونستاتور ههه
nari ach gal,ناري آش قال
Oussama Amiri hhhhhhhhhhhh nta,أسامة أميري ههههههههههه نتا
kolba hadey tiri ilmaha hakaa seexdaano ma foga,كلبة هادي تيري إلهاها هكاك سيكسدانو ما فوفا
O9sim billah wahed nhar kont mor wahed Sh labes casque dyalo we9afna fdaw hmar kanchof fih fhal hayda hbet ftah topcase d motor jbed mno chapeux d gucci olebso orja3 casque khxah f baliza dmotor hhhhhhhhh khesara kan khso itsewar hhhhhhhhhh,أو9سم بالله واحد نهار كنت مور واحد ش لابس كاسك ديالو و9افنا فداو حمار كانشوف فيه فحال هايدا هبت فتاه توب كيس د موتور جبد منو شابو د غوتشي أولبسو ورجع كاسك خخاه ف باليظة د موتور ههههههه خسارة كان خسو يتصور ههههههه
Hada howa ljadid,هادا هوا الجديد
Katsd9 ghir mra,كاتسد9 غير مرا
tbarkllah 3lik,تبارك الله عليك
dirlna yrhmlk lwalid 3la z1000 z800,درلنا يرحم لك الواليد علا ز1000 ز800
Lmraya dial l7ala9 : vu,لمرا ديال لحلا9 : فو
Lwlidd 3andk bki kyfwj,الوليد عندك بكي كيفج
Rijal Bissoumat Youssef kolchi 3lih lah yhafdo likom,رجال بيسومة يوسف كلشي عليه الله يحافدو ليكم
But Star Haaland 5mins,بوت ستار هالاند 5 منيت
Walh akheya ktechafni m3raftche 3lache 3inke daimne fiheme lhezene wlhame lhe yefawjha 3like akheya,والله أخي كتشافني معرفتش علاش عينك دايمن فيهم لهزنة والله له يفاوجها عليك أخي
Lach za3ma mhayd cabli dyal kontour Bach troch fin tbri tbi3ha tgoli Kant ra wa9fa hhhh hawl maroc mazal macharyan mochkil fina hna tanrocho ra ba3diyatna,لاش زعما مهايض قبلي ديال كنتور باش تروّض فين تبّري تبيعها تقولي كانت واقفة ههه حول المغرب مازال ماضرّان موشكيل فينا هنا تنروضو را بعدياتنا
Hhhh ishb lik ga3 nass kaykloo tban yak wa5a ta7d lih ta lmkina gha rata7 awdi ajami,هههه إشب ليك كاع الناس كيكلو تبان ياك وا5ا تاحد ليه تا لمكينة غا رتا7 أو دي أجامي
Subhna lah hasit bik bhal li khalast a3lih ana llah isahal a3lik,سبحان الله حسيت بيك ببال لي خلاست أعليh أنا الله اسهل أعليك
hchouma 3lik a Sahbi mwalaf ta3ti l Dari li péage 9ar3a o choklata hhh,حشومة عليك أ صاحبي موالف تعطي ل داري لي بيّاج 9رعة وشوكلاطة ههه
5aiinin hh,5ايينين هه
Momkin na3rafe fin kin fmarakch lah ihafedak,ممكن نعرف فين كين فمراكش الله يحفظك
Khona ma kay 3arfch yrwed w7ech,الخونا ما كايعرف يرود و7ش
Mostafa Él nta hhhhh,مصطفى إل نتا ههههه
Lmorphine ay9ona,لمورفين أي9ونا
lbkya li dart moura lbac hhh,لبكية لي درت مور لباص ههه
Hadik casa f anfa 3rafta ghir b dik Hôtel D Barcelo Hit Kont kanmchi Tma Bzaaaf,هاديك كازا ف أنفا عرفتا غير ب ديك hôtel D Barcelo hit كنت كانمشي تما بزاف
Yassine El m7arech b khooh,ياسين إل محارض ب خووه
Abdeladim Taté bhala nta dawi m3a mohamed,عبد العظيم تات بحالا نتا داوي مع محمد
bach 3raftih kisra9 wifi hhhhh,باش عرفتيه كيسرق wifi ههههه
Bin o bin Rap Ghir lkhair o i7san,بين و بين راب غير الخير والإحسان
Mliii7,مليي7
"3ndo mouchkil f compressor, li kaykhdlo khso yriglo Teclab BA 2A",عندو موشكيل ف كمبريسور، لي كايخضلو خسو يريغلو تيكلاب BA 2A
Kane la3ib ta wla himar wahchi hhhh maystahlch il3ab had la coupe,كان لاعب تا ولا حمار وحشي هههه مايستاهلش الإلعاب هاد لا كوب
Amine MA tra lia had lblan m3a sezar dial ichahrar Lah irahmo,أمين ما ترا ليا هاد لبلان مع سيزار ديال إشهار الله يرحمو
Mero bichar ma xori ko photo dekhaudai xin Rekha thapa le,ميرو بيشار ما خوري كو فوتو ديكهاوداي شين ريخا ثابا لي
Kifach bloc 2 dima tatgolha,كيفاش بلوك 2 ديما تاتقولها
Hâķïm Bøúohoya galeeh ja3raan rah machi howa,هاكييم بوحيويا گالها جايران راه ماشي هوا
7na nchodo wsafi asi hsan nmchw nt3lim sia9a mchiti ntresian chmali,حنا نشدو و صافي آسي حسن نمشو نتعلم سياقة مشيتي نترسيا شمالي
Awdi dak vis kayn f ay wahd 3ziz 3lih motor ta7iyati khoya med,أو دي داك فيس كاين ف أي واحد عزيز عليه موتور تحياتي خويا مد
Ghi M2 hsen men had chi hhhh,غي M2 حسن من هاد شي ههه
Kon khriti fdak studio wmatghnich had lhmoda tzzzzzz a izlan okhna,كون خريت فداك ستوديو وماتغنيش هاد لحمودة تزززز أيزلان وخنا
1000Dh rah thyd lmaja3a mn soudan aw9,1000 درهم راه تهدى لمجاعة من سودان أو9
Ara 3liha chi 2 ans l Mahamawda,آرا عليها شي 2 أنس ل المحمودة
Mahmoud howa next fda7aya,محمود هوا نيكس فدعايا
Kyn fr9 bin krwazma mt9ada obin droba rah lknti ghdi fTri9 kbira owhd khrj mn drb rah mkhskx t3Tih asb9ia,كين فرق بين كروزمة متقادة وبين دروبة راه لكنتي غدي ف طريق كبيرة وواحد خرج من درب راه مخسكش تعطيها سبعيا
dir lina chi video rla lmontage dyal les fares secours o 4 Signal. lah ihfdek,در لينا شي فيديو رلا لمونتاج ديال ليس فارس سيكور و 4 سيجنال. الله يحفظك
Mn3 hsn lik,من3 حسن ليك
Drari fin nl9a album dialo ? Wach spotify ?,دراري فين نلقا ألبوم ديالو ؟ واش سبوتيفاي ؟
Matgolch haka rah aykherj ybda ybki 3awtani kif l3ada hhhhhhhhhhhhh,ماتقولش هكا راه أيخرج يبدا يبكي عوتاني كيف لعادة هههههههههه
Hhhhhh nadi derti dak demo oghnia deyal laaras kayn a 3chyri video ghanpartajih nadi nadi kokchi aala moulat sefar,هههههه نادي درتي داك ديمو وغنية ديال لاراس كاين أ 3شيري فيديو غانبارتاجيه نادي نادي كو شي عال مولات سفار
Hafifak allah et bonne courage et bonne continuation.dir lina almarra jaya alhadra dyal oujda et taourirt.et berkane,حفيظك الله و بون كوراج و بون كونتينيواصيون. در لينا المرة جاية الحضرة ديال وجدة و تاوريرت. و بركان
Khoya zide 3liha za3tare otouma otfakarni bhalaha kansayboha fcasa Ana wahade mnhome otahiyati,خويا زيد عليها زعترة و طما و تفاكرني ببالها كانسايبوها فكازا أنا واحد منهم و تحياتي
Wadie Gr 9bel maybanlk lvid ra wlhta 3mrni drtlk chi l3ba bhal hadi hhhhhhhhhh,وادي GR قبل ما يبانلك لفيديو راه والله عمرني درتلك شي لعبة ببال هادي ههههههه
DFK hiya,DFK هيا
K tkhadat hit jaya mn kaliémie hit potassium hwa lkythkaam fiha,ك تخذات hit جایا من كالييمية hit بوتاسيوم هوا لكيثكام فيها
Flawl bda kid7k 3lih hhh,فلوول بدا كيدحك عليه ههه
Chi nhar adbr 3la lmontif 7di rask,شي نهار أدبر علا لمونتيف حدي راسك
Li bgha marhba bih f lhay mohamadi,لي بغا مرحبا بيه فلحيى محمدي
Ma3rfox tafo9ax magtlox maw9fin 3la 7d,معرفوش تفوقخ ماغلوش موقفيين علا حد
Sega3e hhhhhh,سگاة ههههه
Nta tyara asi esama,نتا طيارة آسي إسما
Hrb mn lma lytrch fih,هرب من لما ليترش فيه
walah HTA ana kanchfom kayd5ol 3liya law9at,والله حتى أنا كانشوفوم كيد5ول عليا لو9ات
Yalah wliti kat gol 3arf rassi fotif hta 9ayadto o galha lik constater hargawa katro,يالله وليتي كات قول عرف راسي فوتيف حتا 9ايدتو و قالها ليك كونستاتور هرگاوا كترو
Ma c’è la puntata di quando fermano Fassino?,ما سي لا بونتاطا دي كواندو فيرمانو فاسيّنو؟
Han yiniharu le ke gareko dinbharima Ek pawa maxa Pani paindaina lek dui wata gangsta gadela bahek teti sanu khula ma ke paunla ?,هان يينيهارو لي كي گاريكو دينبهاريما إيك پاوا ماكشا پاني پينداينا ليك دوي واتا گانگستا گاديلا باهيك تيتي سانُو خولا ما كي پاونلا؟
Hada sads,هادا سادس
Yak kan gal feh 1.80 fe stream ?,ياك كان قال فيه 1.80 في ستريم؟
Hadi Hadi,هادي هادي
7ta daba lmra 7sn mn rrajl,حتا دابا لمرا حسن من راجل
Sbhan lh nta ou shabk baslin t9al ela l9lb,سبحان الله نتا وشابك باسليين ت9ال علا القلب
Mliha Ila Kant n9a khososan rabbit o pacific,مليحة إلا كانت نقا خصوصا رابيت و باسيفيك
HTA match wakha 9lila chwia.,حتا ماتش واخا قليلا شوية.
Golf 4 d origin o n9a design hareb kanet 3andi pacific bnadem rakeb fhdid haute gamme. Ntkrwaza m3ah maymkench matirch intibah,غولف 4 د أوريجين و نقا ديزاين هارب كانت عندي باسيفيك بنادم راكب فهديد هوت غام. نتكروازا معاه مايمكنش مايترش انتباه
Ah akhoya. Matkhaf ma walo nadi,آخويا. ماتخاف ما والو نادي
Had jrad chhal basllin,هاد جرد شحال باسلين
nta bark o katlss9 fena chii kaliimat,نتا بارك و كاتلس9 فينا شي كليماات
dik samsung dayra meak lmzyaan hhhh,ديك سامسونغ دايرة معاك لمزيان ههه
"Ban nta 3endna ndiro lik tahiya okhawiya 3la had lhedra likatgol merhba bik oweld l,,,,","بان نتا عندنا نديرو ليك تحية و خاوية علا هاد لهدرا ليكاتقول مرحبا بيك أولد ل,,,,"
6 ceylander kola ciylander 3.6L max speed 234km/h mochkil li kan howa seystem d'injection classic kon kant la novell jeneratoin d'anjection kon chdat 360km/h bhal la3b,6 صيلندر كولا صيلندر 3.6L ماكس سبيد 234كم/س موشكيل لي كان هوا سيستم د'انجييكسيون كلاسيك كون كانت لا نوفيل جينيراتيون دانجييكسيون كون شدات 360كم/س ببال لاعب
Youssef ana wyak fkola mra knglso bjoj hhh,يوسف أنا وياك فكولا مرا كنجلسو بجوج ههه
7mar mol tomobil lokn 7bass ychof klab wachta sralo onsniya m3ndouch,حمار مول توموبيل لوكن حبس يشوف كلاب واشتا سralو أونسنيا معندوش
mazot wla haz lisans khfti ytfrg3 wla tch3l 3fya,مازوت ولا هز ليسانس خفتي يتفرگ3 ولا تشعل عفا
hrab fiha jonon l3adama ol wswas dakchi bach galt liik darori nhdar,هراب فيها جنون لعدامة و الوسواس داكشي باش قالت ليك ضروري نهدّر
mero: chda9 rzal,ميرو: شدا9 رزال
Knt dak nhar m3rfto Mnin tl3 hhhhhh,كنت داك النهار معرفتو منين تلع ههههه
Moaad Zahr ha nta mo,معاد زهر ها نتا مو
Waliti kat3atal khay dalali,وليتي كاتعطل خاي دلالي
Salm li3andha machakil fdar m3a l3aila ola m3a zawj tji lkhas marhba atrhmliya lwalidinLibrat nkhdam liha hadi da9a batla iji kayjri 9assmn.bila 3andi wahd lkhdma wa3ra fhadchi librat tjini lkhas,سلم ليا عاندها مشاكل فدار مع العائلة ولا مع زوج تجي لكاس مرحبا اترحم ليا لوالدين ليبرات نخدم ليها هادي دقة بتلا تجي كيجري قاسمني. بلا عندي واحد الخدمة وا3را فهدشي ليبرات تجيني لكاس
Nta li mchmoot,نتا لي مشموت
Wlah a hbibi ta kent hass bik 9aysek lma,والله أ حبيبي تا كنت حس بيك 9ايسك لما
Bsshtkom 3aychin l7ob,بسحتكوم عايضين لحوب
Dk kricha 3adak dima hadra hhh,ديك كريشة عداك ديما هدرة ههه
3anmot hhhhh,عانموت ههههه
Sir t9awd,سير تقود
Khoya rak nta li mklakhe machi indriv,خويا راك نتا لي مكلاخ ماشي اندريف
Rafi999 dima wac m3ak hamid ctm station kech...hhhhh 3alam,رفيق ديمة واص معاك حميد ستم صطام كيش...ههههه علام
Tkharbi9,تخاربيق
Li fih dam kaytakhdam taksa o nsa o hdi trimtak had khatra,لي فيه دم كيتخدم تكسى و نسا و هدي تريمتاك هاد خترة
Hadak dayer green screen ou l7mar dayer FIH 39lou,هاداك داير غرين سكرين و الحمر داير فيه عقلُو
O 9bal 5 ans,و قبل 5 انس
Hada rah dilyas kho ilyass,هادا راه ديالياس خو الياس
Ilyas elmaliki yaaaaaa had rajel talach 7assnti le7ya yahad rajel,الياس المالكي ياااااا هاد راجل تلاّش حسّنتي لحية يهاد راجل
Ya rrabi tassma7 lina wlik,يا ربي تسامح لينا وليك
Ma3raft 3lach makadkhol lkhatar,معارف علاش ماكدخل الخاطر
Hosam 3chiri slm 3lih bzaf,حسام عشيري سلم عليه بزاف
Is this for the 24th or 25th,Is this for the 24th or 25th
Khouya hamza al3atifa la khafifi mn nytk..?,خويا حمزة العاطيفة لا خفيفي من نيتك..؟
Ana kanbghi raja walakine hadi a kha Hamza hi khriti fiha . 3la smiyate kidairine Khafifi maysstahlch ta dak tenue Banoon li 7ssen menno ou mal3bch kan doublure machi assassi,أنا كانبغي رجاء ولكن هادي أ خو حمزة هي خريتي فيها . علا سميت كيديرينة الخفيفي مايستاهلش تا داك تنيو بانون لي حسن منو و مالعبش كان دوبلور ماشي أساسي
Hadi nhar lawal ta3tik,هادي نهار الأول تعتيك
Mehdi Khalouf welah ta nsa7bo tizek hahahhahahahahhahaha,مهدي خالوف والله تا نساعبو تيزك ههههههههههههههه
Hhhh tahowa Kan Mikhali bhalna hhh loudaya,هههه تهوا كان مخالي بحالنا ههه لوداية
Wa ls9aaaa,وا السقاع
makayn li sifat pause gadak nta,ماكاين لي صفات pause قدك نتا
"Had zbi dL'morphine m'inspiri mn dexter rule number 1 ftmerphine hiya ""never go to prison""","هاد زبي ديال لمورفين م'انسبيري من ديكستر رول نمبر 1 فتمورفين هيّا ""never go to prison"""
dal3lo raso,دلعلو راسُو
Abdouelali Harkouzi der nefs à sa7bi,عبد العالي حركو زي در نفس à صاحبي
Ismail Lmesfioui hh hadchi li Ghadi ngol lik,إسماعيل لمسفيوي هه هاضي لي غادي نڭول ليك
Zindin Se MOANING LI KIDIRO 97AB AFRIBABA AZBI HHHHHHHHHHHHHHHHHHHHHHHHHHHHH,زندين سي موانينڭ لي كيديو 97اب افريبابا ازبي ههههههههههههههههههههههههههه
Ach dayr fi wadno wach salib osamho liya wach hata ntoma chatoh ola ghir ana hhh,آش داير في ودنو واش ساليب واسمحو ليا واش حتا نتوما شتوها ولا غير أنا ههه
Wa 3la excuse ghabra hhhhhhh,وا علا excuse ڭبرا هههههه
"Nkwaseafo) paa ni,no wonder DL predicted the true character of 3ko)na abusua",نكواسيفو) باا ني،نو وندر DL بريديكتيد ذا ترو كاراكتر اوف 3كونا ابوسوا
Hmmmm....As3mooooo,همممم....أسْمُو
Diro les signalé bach yb9a endo mod Wahd hhhh,ديّرو لِس سيڭالاي باش يبقا إندو مود واحد ههه
"Nta 3andek babak, 3tak l7ayat",نتا عندك باباك، عتاك الحياة
lah ykhlaf 3ala papa,الله يخلف علا بابا
Mdina dyal kula ydber lkro,مدينة ديال كولا يدبر لكرُو
