La première fois,البريمير فوا
tchod,تشد
diya,ديال
lor,اللور
Slm,سلام
khouya,خويا
walid,وليد
allahe,الله
ikbre,يكبر
bik,بيك
bekhit,بغيت
nehdre,نهضر
me3k,معاك
Fobya,فوبيا
dyal,ديال
bne,بن
nseer,نصير
dart,دارت
khdemtha,خدمتها
nadi,ناضي
akhoya,أخويا
rir,غير
lblya,البْلية
b3d,بعد
mnha,منها
lah,الله
ishl,يسهل
alik,عليك
Hna,حنا
mn,من
lhih,لهيه
kyjini,كيجيني
bhl,بحال
ila,إلا
m3xnax,معشناش
g3,كاع
Hiya,هيا
ana,أنا
cherft,شرفت3lach,علاش
kathwa,كتحوا
3lax,علاش
a5oya,أ خويا
mili,ملي
katkon,كاتكون
m3a,مع
s7abk,صحابك
katd7ak,كاتضحك
ou,أو
5ok,خوك
m3asb,معصب
Jaybin,جايين
mklkh,مكلخ
b7al,بحال
lmoutchou,الموتشو
okaysnaw,كايتسناو
l7l9a,الحلقة
tnjh,تنجح
Rmook,رموك
3aref,عارف
tri9o,طريقو
om3alem,ومعلم
professionel,بروفيسيونيل
mochkil,مشكل
f,ف
les,لي
voiture,فواتير
des,ديال
particuliers,البارتيكوليي
Wch,واش
katfra9,كاتفرق
bin,بين
niveau,نيفو
temperature,تيمبيراتور
zite,زيت
a,أ
khouya,خويا
ma,ما
aytle3ch,كيطلعش
l,ل
aspirateur,أسبراتور
Makanmchich,ما كانمشييش
lmrjan,للمرجان
y3ni,يعني
nhar,نهار
nchofk,نشوفك
an9m3k,أنقمك
Hiya,هيا
ah,أه
wlk,ولكن
bch,باش
lkaki,الكاكي
takhdo,تاخدو
b,بتسعود
9dh,دراهم
10dh,وعشرة
o,و
tbi3o,وتبيعو
c,سي
pas,با
logique,لوجيك
Amin,أمين
ana,أنا
f,ف
lalaman,العالم
3lach,علاش
kayd7k,كيدحك
bzez,بزز
wach,واش
hadak,هاداك
gal,قال
chu,شي
haja,حاجة
kad7k,كضحك
wla,ولا
mrid,مريض
hwa,هوا
li,اللي
dar,دار
chi,شي
sbla,سبْلة
Bach,باش
hya,هيا
dart,دارت
haka,هكا
Ahsen,أحسن
meroki,مروكي
fl,ف
l3alam,العالم
tahya,تحية
Ah,أه
kan3rf,كانعرف
oujda,وجدة
9an3ihom,قنعيهم
akhti,أختي
ma3endiiich,ما عنديش
jehd,جهد
khliw,خليو
koora,الكورة
lwste,فالوسط
ayrj3ou,ويرجعو
bjoj,بجوج
yn3sou,ينعسو
loure,اللور
Imta,امتا
lmatch,الماتش
be3da,بعدا
nika7,نكاح
lbassari,البصري
M3rfatchi,معرفاتشي
regragi,ريغراغي
fra3,فراع
luis,لويس
enrique,إنريك
5as,خاص
mn,من
daba,دابا
nl9aw,نلقاو
hl,حل
ldifa3,للدفاع
Hit,حيت
ila,إلا
mchi,ماشي
basis,باصيص
yamik,ياميك
farah,فرح
s3ib,صعيب
chrfo,شرفو
wradi,ورادي
yzido,يزيدو
had,هاد
7,سبعة
chhour,شهور
kora,كورة
ghdi,غدي
tb9a,تبقى
f,فال
centre,السنطر
mghdich,ماغديش
tl3eb,تلعب
3rafti,عرفتي
3lach,علاش
radi,غادي
tabda,تبدا
tasma3,تسمع
chi,شي
r9am,رقم
khayaliya,خيالي
1000,ألف
hp,إتش بي
rada,غادي
twali,تولي
bhal,بحال
200,ميتين
La,لا
passion,باسيون
Klma,كلمة
mayfhmha,مايفهمها
ghyr,غير
li,لي
3aychha,عايشها
kAlma,كلمة
ma,ما
mayfhmha,يفهمها
ultras,أولتراس
per,بير
la,لا
vita,فيتا
dakchi,داكشي
l3aba,اللعابة
d,د
barca,بارصا
makaytsaboch,ماكايتصابوش
f,ف
ligament,ليغامون
Awdi,أودي
lah,الله
inajik,ينجيك
man,من
wahad,واحد
no3,النوع
taikon,تيكون
kabar,كبر
m3a,مع
la3yalate,العيالات
walh,والله
ihayad,يحيد
Lik,ليك
masmom,مسموم
okanin,وكاينين
wld,ولد
lablad,لبلاد
taidrab,تايضرب
gir,غير
FAL,فالمرايا
mraya,المرايا
tai3tik,تايعطيك
tri9,طريق
3ajbtni,عجبتني
hulix,هوليكس
RE,ري
DA,دا
hna,هنا
3awtani,عاوتاني
ghadi,غادي
yjiw,يجيو
3andk,عندك
nta,نتا
mdouble,مدوبل
liman,اليمين
kda,وكدا
bnadam,بنادم
gha,غا
sama3,سامع
sfi,صفي
Doz,دوز
l3ndna,لعندنا
ba9in,باقيين
wa7lin,واحلين
2006,ألفين وستة
Hhhhhhhh,هههههه
machatich,ماجاتيش
toit,طوا
panoramique,بانوراميك
tilas9ouh,تيلصقوه
Onta,أنت
so9k,سوقك
Lhayaaat,الحياة
ghyer,غير
3adiila,عادلة
Bnadm,بنادم
mchal9mo,مشلقمو
lhsad,الحساد
lah,الله
isahl,يسهل
kol,كل
wahd,واحد
Wayli,ويلي
ma,ما
ti,تيت
tmazakche,تتمازكش
lagnawi,لغنوي
kant,كنت
kantsnah,كنتسناه
y9ol,يقول
lferda,الفردة
sa3a,ساعة
khaf,خاف
ydikala,يديكالا
Mike,مايك
dean,دين
li,اللي
gadd,گد
lbeat,البيت
mashi,ماشي
Pharrell,فاريل
3adie,عادية
ana,أنا
okandirha,كاننديرها
Ka,كايريسكيو
yriskiw,كايريسكيو
wla,ولا
nta,نتا
rah,راه
z800,ز ثمن
1000,ألف
ila,إلا
jrit,جريت
90,تسعين
100,مية
b7ala,بحالا
40,أربعين
hhh,هعه
homa,هما
jiboha,يجيبوها
f,ف
rashom,راشهم
Hadak,هاداك
dada,دادا
Awdi,أوودي
gal,قال
lk,لك
f,ف
l,جوج
2M,إم
l,ف
aoula,الأولى
hhhh,ههه
Borojola,بوروجولا
hada,هادا
classement,كلاسمون
des,ديال
films,أفلام
d'actions,دأكشن
machi,ماشي
braquage,براكاج
Rak,راك
zgalti,زغلتي
L'idee,ليدي
hia,هيو
anaho,أنو
l'evaluation,ليفالياسيون
du film,دالفيلم
en se basant,أون سو بازان
sur le,سير لو
No,نو
inside man,إنسايد مان
man on a ledge,مان أون أ ليدج
the town,ذا تاون
the bank job,ذا بانك جوب
khuya,خويا
ra2yok,رأيك
yo7taram,يُحترم
khas,خاص
bzf,بزاف
dyal,ديال
les modif,لي موديف
la,لا
akhuya,خويا
l7ulm,الحلم
dial,ديال
hergawa,هرغاوا
Mais,ميس
3lach,علاش
meskin,مسكين
Ghadi,غادي
tkoun,تكون
ahesan,أحسن
lahda,لحظة
hyato,حياتو
Ga3,كاع
dakchi,داكشي
lighydir,ليغيدير
m3ah,معاه
mcha,مشا
dewzo,دوزو
wja,وجا
Said,سعيد
Lasmar,لاسمار
hyad,يحيد
fik,فيك
had,هاد
lkhdaym,الخدايم
Khoya,خويا
Seraha,صراحة
fhad,فهاد
lwa9t,الوقت
bnadem,بنادم
idkhal,يدخل
so9,سوق
raso,راسو
7san,حسن
lih,ليه
Slm,سلام
ana,أنا
kahirafi,حرفي
flamikanic,ف لاميكانيك
essence,إيسونس
normal,نورمال
ahsan,أحسن
Ayman,أيمن
Jbari,جباري
fkkr,فكر
mzyaaan,مزيان
chi,شي
9iissa,قصة
li,لي
tji,تجي
mea,مع
had,هاد
lkhir,الخير
likadir,لي كادير
bravo,برافو
elik,عليك
mais,ميس
rah,راه
ila,إلا
makant,ما كانت
hta,حتا
qiisa,قصة
makanoch,ماكانوش
l,لي
missions,ميسيون
ra,را
bhala,بحالا
makadir,ماكادير
walo,والو
alah,والله
iwwf9ek,يووفقك
a,أ
brother,خويا
rak,راك
nadi,ناضي
4,ربعة
drari,دراري
250dh,ميتين و خمسين درهم
l,ل
wa7d,واحد
villa,فيلا
mkriya,مكرية
nhar,النهار
b,ب
1000dh,ألف درهم
M3a,مع
galtha,گالتها
Lik,ليك
m3a,مع
mchiti,مشيتي
kriti,كريتي
Villa,فيلا
15,خمسطاش
lwahd,لواحد
3ziz,عزيز
3li,علي
wkh,وخا
mkn3rfkchi,مكنعرفكشي
Katl9ah,كاتلقاه
umi,أمي
maqarich,ماقاريش
edayro,أيديرو
tema,تما
Radi,غادي
n9alab,نقلب
3la,على
war9a,ورقة
Saraha,صراحة
wa3ere,واعرة
dirohe,ديروه
blile,بالليل
Fg3,فكاع
videos,الفيديوهات
tadwi,تدوي
abch,باش
dwi,دوي
Chef,الشيف
ali,علي
tbarklah,تبارك الله
o,و
machallah,ماشاء الله
3lik,عليك
ki,كيعجبني
3jebni,كيفاش
ka,كاتبارطاجي
tpartager,المعلومة
lma3louma,مع الناس
Chnu,شنو
smit,سميت
sebardila,سبارديلة
li,لي
labs,لابس
chaos,خاوس
Ayman,أيمن
Ouali,الوالي
hak,هاك
had,هاد
Mahmoud,محمود
3alam,علام
Wa,و
hia,هيا
lm3lm,المعلم
Oussama,أسامة
Abbou,عبو
Mohlika,موهليكا
officiel,أوفيسييل
rajal,راجل
alik,عليك
akhali,أخالي
khasak,خاصك
trayah,ترتاح
meah,معاه
tbadla,تبدل
rayyaa,رايك
dyalk,نتا
Aslan,أصلان
rtitab,ارتداد
alkaekae,الكعكاع
bhalak,بحالك
Rak,راك
3arf,عارف
bamat,بلا ما
ngolk,نگولك
hchamt,حشمت
nsabak,نسابقك
tn9az,تنقز
ala,على
Bsa7tk,بصحتك
Sir,سير
wld,ولد
galik,قاليك
Machaellah,ماشاء الله
lhayat,الحياة
tabi3ya,الطبيعية
otahyati,وتحياتي
okhti,أختي
lghzala,الغزالة
lmouhtarama,المحترمة
thouraya,ثريا
Khoya,خويا
birojola,بالرجولة
makintiw,ماكنتوش
kadir,كاديرو
loton,اللوتون
ohada,وهادا
howa,هو
sawtk,صوتك
akhoya,أخويا
siiir,سير
lrap,الراب
makrahnax,ماكرهناش
lahti,لحتي
lina,لينا
xi,شي
track,تراك
xkon,شكون
mtaf9,متفق
m3aya,معايا
Tbrklah,تبارك الله
3lik,عليك
Mabghithach,مابغيتهاش
lik,ليك
koun,كون
b9iti,بقيتي
fzn9a,فالزنقة
sohil,سهيل
hram,حرام
M3rftch,معرفتش
mnin,منين
kyti7o,كيطيحو
had,هاد
afkar,الأفكار
bravo,برافو
Abdelaziz,عبد العزيز
El,المكودي
Makoudi,المكودي
hada,هادا
tena,تينا
wlh,والله
hhhhhh,هههههه
gha,غا
blati,بلاتي
ghadi,غادي
tkhlees,تخلص
mazal,مازال
layn3ltbonmkmo,الله ينعل بو مكُّم
Hhhh,ههههه
3alm,عالم
dak,داك
khona,خونا
Rida,رضا
Touil,طويل
howa,هو
wla,ولا
maxi,ماشي
Khalid,خالد
Orao,أوراو
lakhor,لاخور
li,لي
kihssab,كيحساب
lih,ليه
ra,راه
kigol,كيقول
chi,شي
haja,حاجة
fiha,فيها
sdae,صداع
Tara,تارا
b9alk,بقالك
gha,غا
tnikoo,تنيكو
Hhh,ههه
ana,أنا
wahd,واحد
mkenas,مكناس
chadin,شادين
9hwa,قهوة
kantssnaw,كانتسنوا
constator,كونستاتور
nari,ناري
ach,آش
gal,قال
Oussama,أسامة
Amiri,أميري
hhhhhhhhhhhhh,هههههههههه
nta,نتا
O9sim,أقسم
billah,بالله
wahed,واحد
nhar,نهار
kont,كنت
mor,مور
Sh,ش
labes,لابس
casque,كاسك
dyalo,ديالو
we9afna,وقفنا
fdaw,فضو
hmar,حمار
kanchof,كنشوف
fih,فيه
fhal,فحال
hayda,هايدا
hbet,هبط
ftah,فتح
topcase,طوب
d,د
motor,موتور
jbed,جبد
mno,منو
chapeux,شابو
gucci,غوتشي
olebso,ولبسو
orja3,ورجع
khxah,خشاه
baliza,باليزة
hhhhhhhhh,هههههه
khesara,خسارة
kan,كان
khso,خصو
itsewar,يتصور
hhhhhhhhhh,هههههه
Hada,هادا
hawa,هو
ljadid,الجديد
Katsd9,كتصدق
ghir,غير
mra,مرة
tbarkllah,تبارك
3lik,عليك
dirlna,ديرلنا
yrhmlk,يرحم
lwalid,الواليد
z1000,ز ألف
z800,ز تمنمية
Lmraya,المرايا
dial,ديال
l7ala9,الحلاق
vu,فو
Lwlidd,الوليد
3andk,عندك
bki,باكي
kyfwj,كيفوج
Rijal,رجال
Bissoumat,بيسومة
Youssef,يوسف
kolchi,كلشي
3lih,عليه
lah,الله
yhafdo,يحافضو
likom,ليكم
O9sim,أُقْسم
billah,بالله
wahed,واحد
nhar,نهار
kont,كنت
mor,مور
Sh,الشّْ
labes,لابس
casque,الكاسك
dyalo,ديالو
we9afna,وَقَفنا
fdaw,فْالضو
hmar,الحْمار
kanchof,كنتْشوف
fih,فيه
fhal,فْحال
hayda,هايدا
hbet,هْبَط
ftah,فْتح
topcase,التوبكيس
d,ديال
motor,الموطور
jbed,جْبد
mno,منُّو
chapeux,الشّابو
gucci,غوتشي
olebso,و لْبْسُو
orja3,و رَجَّع
khxah,خْشَاه
f,فْ
baliza,الباليزة
hhhhhhhhh,هههههه
khesara,خْسارة
kan,كان
khso,خَصُّو
itsewar,يْتْصَوَّر
hhhhhhhhhh,هههههه
Hada,هادا
hawa,هوا
ljadid,الجديد
Katsd9,كاتْصْدَق
ghir,غير
mra,مرة
tbarkllah,تبارك الله
3lik,عليك
dirlna,ديرْ
yrhmlk,يرحمْ
lwalid,الواليد
3la,على
z1000,الزيد ألف
z800,الزيد تمنمية
Lmraya,لمْراية
dial,ديال
l7ala9,الحلاق
vu,فو
Lwlidd,الوْليد
3andk,عندك
bki,بْكي
kyfwj,كَيْفوّج
Rijal,رجال
Bissoumat,بيسومة
Youssef,يوسف
kolchi,كُلشي
3lih,عليه
lah,الله
yhafdo,يحافضو
likom,ليكم
But,بُوت
Star,ستار
Haaland,هالاند
Walh,و الله
akheya,أخي
ktechafni,كْشافني
m3raftche,ما عْرَفْتْش
3lache,علاش
3inke,عينيك
daimne,دايماً
fiheme,فيهُمْ
lhe,لْهَم
yefawjha,يْفوّجها
Lach,لاش
za3ma,زعما
mhayd,مْحَيَّد
cabli,كابلي
dyal,ديال
kontour,الكونطور
Bach,باش
troch,تْرش
fin,فين
tbri,تبغي
tbi3ha,تبيعها
tgoli,تقولي
Kant,كانت
ra,را
wa9fa,واقفة
hawl,حاول
maroc,المغرب
mazal,مازال
macharyan,ما شاريان
mochkil,موشكيل
fina,فينا
hna,حنا
tanrocho,تنرشو
ba3diyatna,بعضياتنا
Hhhh,هههه
ishb,يْشْبَهْ
lik,ليك
ga3,كاع
nass,الناس
kaykloo,كيكلو
tban,تبن
yak,ياك
wa5a,واخا
ta7d,تحيد
lih,ليه
ta,حتى
lmkina,المكينة
ghaa,غا
rata7,ارتاح
awdi,آ
ajami,أجامي
Subhna,سبحان
lah,الله
hasit,حسيت
bik,بيك
bhal,بحال
li,اللي
khalast,خلصت
a3lih,عليه
ana,أنا
llah,الله
isahal,يْسهَلْ
a3lik,عليك
hchouma,حشومة
3lik,عليك
a,أ
Sahbi,صاحبي
mwalaf,موالف
ta3ti,تعطي
l,ل
Dari,الدَّارِي
li,ديال
péage,البيّاج
9ar3a,قَرْعَة
o,و
choklata,شوكلاطة
hhh,ههه
5aiinin,خَايْنِين
hh,هه
Momkin,ممكن
na3rafe,نعرف
kin,كاين
fmarakch,فمراكش
ihafedak,يحفظك
Khona,خونا
kay,كاي
3arfch,يعرفش
w7ech,وحش
Mostafa,مصطفى
Él,إل
nta,نتا
Lmorphine,لمورفين
ay9ona,أيقونة
lbkya,لبكية
li,لي
dart,درت
moura,مورا
lbac,الباك
Hadik,هاديك
casa,كازا
anfa,أنفا
3rafta,عرفتها
ghir,غير
dik,بديك
Hôtel,Hôtel
D,D
Barcelo,Barcelo
Hit,حيث
Kont,كنت
kanmchi,كانمشي
Tma,تما
Bzaaaf,بزاف
Yassine,ياسين
El,المحارش
m7arech,م7arech
b,بخوه
Abdeladim,عبد العظيم
Taté,تاتي
bhala,بحالا
dawi,داوي
m3a,مع
mohamed,محمد
bach,باش
3raftih,عرفتيه
kisra9,كيسرق
WiFi,WiFi
Bin,بينو
bin,وبين
Rap,الراب
Ghir,غير
lkhair,الخير
i7san,الإحسان
Mliii7,مليييح
3ndo,عندو
mouchkil,مشكل
compressor,كمبريسور
li,لي
kaykhdlo,كايخدمو
khso,خاصو
yriglo,يريكلو
Teclab,تيكلاب
BA,BA
2A,جوج A
Kane,كان
la3ib,لاعب
ta,تا
wla,ولا
himar,حمار
wahchi,وحشي
hhhh,هههه
maystahlch,مايستاهلش
il3ab,يلعب
had,هاد
la,لا
coupe,كوب
Amine,أمين
MA,ما
tra,طرا
lia,ليا
lblan,لبلان
m3a,مع
sezar,سيزار
dial,ديال
ichahrar,الإشهار
Lah,الله
irahmo,يرحمو
Kifach,كيفاش
bloc,بلوك
2,جوج
dima,ديما
tatgolha,تاتقولها
Hâķïm,حكيم
Bøúohoya,بوحيويا
galeeh,گال
ja3raan,جعران
rah,راه
mashi,ماشي
hoya,هو
7na,حنا
nchodo,نشدو
wsafi,وصافي
asi,آ
hsan,حسن
nmchw,نمشيو
nt3lim,نتعلم
sia9a,سياقة
mchiti,مشيتي
ntresian,لترسيان
chmali,شمالي
Awdi,آ ودي
dak,داك
vis,الفيس
kayn,كاين
ay,أي
wahd,واحد
3ziz,عزيز
motor,موتور
ta7iyati,تحياتي
khoya,خويا
med,مد
Ghi,غي
M2,إم
jsen,حسن
had,هاد
chi,شي
hhhhh,ههههه
Kon,كون
khriti,خريت
fdak,فداك
studio,ستوديو
wmatghnich,وماتغنيش
lhmoda,اللحمودة
tzzzzzz,تزززز
a,أيزلان
izlan,أيزلان
okhna,وخنا
1000Dh,ألف درهم
rah,راه
thyd,تحيد
lmaja3a,المجاعة
mn,من
soudan,السودان
aw9,أو ق
Ara,آرا
3liha,عليها
2,جوج
ans,سنين
l,ل
Mahamawda,المحمودة
Mahmoud,محمود
howa,هوا
next,نيكست
fda7aya,فالضحايا
Kyn,كاين
fr9,فرق
bin,بين
krwazma,كروازما
mt9ada,متقادة
obin,وبين
droba,دروبة
lknti,لا كنتي
ghdi,غادي
fTri9,فطريق
kbira,كبيرة
whd,واحد
khrj,خرج
drb,درب
mkhskx,ماخصكش
t3Tih,تعطيه
asb9ia,الأسبقية
dir,دير
lina,لينا
video,فيديو
rla,على
montage,مونتاج
dyal,ديال
fares,لفار
secours,سكور
4,ربعة
Signal,سينيال
lah,الله
ihfdek,يحفظك
Mn3,من
hsn,أحسن
lik,ليك
Drari,دراري
fin,فين
nl9a,نلقى
album,ألبوم
dialo,ديالو
Wach,واش
spotify,سبوتيفاي
Matgolch,ماتقولش
haka,هكا
rah,راه
aykherj,أيخرج
ybda,يبدا
ybki,يبكي
3awtani,عوتاني
kif,كيف
l3ada,العادة
Hhhhhh,هههههه
nadi,نادي
dert,درتي
dak,داك
demo,ديمو
oghnia,أغنية
deyal,ديال
laaras,الأعراس
kayn,كاين
a,أ
3chyri,عشيري
video,فيديو
ghanpartajih,غانبارتاجيه
kokchi,كلشي
aala,على
moulat,مولات
sefar,الصفر
Hafifak,حفيظك
allah,الله
bonne,بون
courage,كوراج
continuation,كونتينواسيون
dir,دير
lina,لينا
almarra,المرة
jaya,الجاية
alhadra,الحضرة
oujda,وجدة
taourirt,تاوريرت
et,و
berkane,بركان
Khoya,خويا
zide,زيد
3liha,عليها
za3tare,زعتر
touma,تومة
otfakarni,وتفكرني
bhalaha,بحالها
kansayboha,كنصايبوها
fcasa,فكازا
Ana,أنا
wahade,واحد
mnhome,منهم
otahiyati,وتحياتي
Wadie,وادي
Gr,جي آر
9bel,قبل
maybanlk,ما يبان لك
lvid,الفيديو
ra,راه
wlhta,والله حتى
3mrni,عمرني
drtrlk,درت لك
chi,شي
hadi,هادي
DFK,دي إف كاي
hiya,هيّا
K,ك
tkhadat,تخذات
hit,حيت
jaya,جاية
kaliémie,كاليمية
potassium,البوتاسيوم
hwa,هو
lkythkaam,كيتحكّم
fiha,فيها
bda,بدا
kid7k,كيدحك
hhh,ه
Chi,شي
nhar,نهار
adbr,أدبر
lmontif,لموتيف
7di,حدي
rask,راسك
Li,لي
bgha,بغا
marhba,مرحبا
bih,بيه
lhay,في الحي
mohamadi,المحمدي
Ma3rfox,ماعرفوش
tafo9ax,تا فوقاش
magtlox,ما قالولوش
maw9fin,موقفين
3la,على
7d,حد
Sega3e,سگّاع
hhhhhh,هههههه
Nta,نتا
tyara,طيارة
asi,أسي
esama,أسامة
Hrb,هرب
lma,الما
lytrch,ليترش
walah,والله
ana,أنا
kanchfom,كانشوفهم
kayd5ol,كيدخلوا
aliya,علية
law9at,الأوقات
Yalah,يالله
wliti,ولي
kat gol,كاتقول
3arf,عارف
rassi,راسي
fotif,فوتيف
hta,حتى
9ayadto,قيدتو
o,وقالها
lik,ليك
constater,كونستاتور
hargawa,هرگاوا
katro,كتروا
Hada,هادا
sads,سادس
Yak,ياك
kan,كان
gal,قال
feh,فيه
1.80,واحد فاصلة ثْمانين
fe,ف
stream,ستريم
Hadi,هادي
7ta,حتى
daba,دابا
lmra,لمرا
7sn,حسن
mn,من
rrajl,راجل
Sbhan,سبحان
lh,الله
nta,نتا
shabk,صحابك
baslin,باسلين
t9al,تقال
ela,على
l9lb,القلب
Mliha,مليحة
Ila,إلا
Kant,كانت
n9a,نق
khososan,خصوصا
rabbit,رابيت
o,و
pacific,باسيفيك
HTA,حتا
match,ماتش
wakha,واخا
9lila,قليلة
chwia,شوية
Golf,غولف
4,ربعة
d,د
origin,أوريجين
o,و
n9a,نقَا
design,ديزاين
harb,هرب
kanet,كانت
3andi,عندي
pacific,باسيفيك
bnadem,بنادم
rakeb,راكب
fhdid,فحديد
haute,هوت
gamme,غام
Ntkrwaza,نتكروازا
m3ah,معاه
maymkench,ما يمكنش
matirch,ما تيرش
intibah,انتباه
Ah,أه
akhoya,أخويا
Matkhaf,ما تخاف
ma,ما
walo,والو
nadi,نادي
Had,هاد
jrad,جْراد
chhal,شحال
basllin,باسلين
nta,نتا
bark,بارك
katlss9,كاتلصّق
fena,فينا
chii,شي
kaliimat,كلمات
dik,ديك
samsung,سامسونغ
dayra,دايرة
meak,معاك
lmzyaan,لمزيان
Ban,بان
3endna,عندنا
ndiro,نديرو
lik,ليك
tahiya,تحية
okhawiya,وخاوية
had,هاد
lhedra,الهضرة
likatgol,لي كاتقول
merhba,مرحبا
bik,بيك
oweld,وولْد
6,ستة
ceylander,سييلندر
kola,كولّا
ciylander,سييلندر
3.6L,تلاتة فاصل ستة لتر
max,ماكس
speed,سبيد
234km/h,ميتين وأربعة وتلاتين كيلومتر في الساعة
mochkil,المشكل
li,اللي
kan,كان
howa,هو
seystem,سيستيم
d'injection,دانجيكسيون
classic,كلاسيك
kon,كون
kant,كانت
la,لا
novell,نوفيل
jeneratoin,جينيراتيون
d'anjection,دانجيكسيون
chdat,شدات
bhal,بحال
la3b,اللعب
Youssef,يوسف
ana,أنا
wyak,وياك
fkola,فكول
mra,مرة
knglso,كنجلسو
bjoj,بجوج
hhh,ههه
7mar,حمار
mol,مول
tomobil,الطوموبيل
lokn,لو
7bass,حبس
ychof,يشوف
klab,كلاب
wachta,واشتا
sralo,سرى
onsniya,إنسانية
m3ndouch,ما عندوش
mazot,مازوت
wla,ولا
haz,هز
lisans,ليسانس
khfti,خفتي
ytfrg3,يتفرڭع
tch3l,تشعل
3fya,عافية
hrab,هرب
fiha,فيها
jonon,جنون
l3adama,العظمة
ol,وال
wswas,الوسواس
dakchi,داكشي
bash,باش
galt,قالت
liik,ليك
darori,ضروري
nhdar,نهضر
mero,ميرو
chda9,شداق
rzal,رزال
Knt,كنت
nhar,نهار
m3rfto,ما عرفتو
Mnin,منين
tl3,طلع
hhhhhh,هههههه
Moaad,معاد
Zahr,زهر
ha,ها
nta,نتا
mo,مو
Waliti,ولي
kat3atal,كاتعطّل
khay,خاي
dalali,دلالي
Salm,اللي
machakil,مشاكل
fdar,فالدار
l3aila,مع العائلة
ola,ولا
zawj,مع الزوج
lkhas,للخاص
marhba,مرحبا
atrhmliya,ترحّم
lwalidin,الوالدين
Librat,اللي
nkhdam,نخدم
liha,ليها
hadi,هادي
da9a,دقة
batla,باطلة
iji,يجي
kayjri,كيجري
9assmn,قسماً
bila,بالله
3andi,عندي
lkhdma,الخدمة
wa3ra,واعرة
fhadchi,فهادشي
tjini,تجيني
Nta,نتا
li,لي
mchmoot,مشموت
Wlah,والله
a,أ
hbibi,حبيبي
ta,تا
kent,كنت
hass,حاس
bik,بيك
9aysek,قايسك
lma,الما
Bsshtkom,بصحتكم
3aychin,عايشين
l7ob,الحب
Dk,ديك
kricha,كريشة
3adak,عندك
dima,ديما
hadra,هضرة
hhhh,هههه
3anmot,عانموت
Sir,سير
t9awd,تقود
Khoya,خويا
rak,راك
nta,نتا
mklakhe,مكلاخ
mashi,ماشي
indriv,إندريف
Rafi999,رفيق تسعمية وتسعة وتسعين
dima,ديمة
wac,واش
m3ak,معاك
hamid,حميد
ctm,سي تي إم
station,صطاسيون
kech,كش
3alam,علام
Tkharbi9,تخاربيق
Li,لي
fih,فيه
dam,الدم
kaytakhdam,كيتخدم
taksa,تكسى
nsa,نسا
hdi,هدي
trimtak,تريمتاك
had,هاد
khatra,الخطرة
Hadak,هاداك
dayer,داير
green,غرين
screen,سكرين
l7mar,الحمار
FIH,فيه
39lou,عقلُو
O,و
9bal,قبل
5,خمسة
ans,أنس
Hada,هادا
rah,راه
dilyas,ديالياس
kho,خو
ilyass,الياس
Ilyas,الياس
elmaliki,المالكي
yaaaaaa,ياااااا
rajel,راجل
talach,تلاّش
7assnti,حسّنتي
le7ya,لحية
yahad,يهاد
Ya,يا
rrabi,ربي
